前大,['前大']
肺脓肿,"['lung abscess', 'pulmonary abscess']"
弥天大谎,"['whopper', 'monstrous lie', 'a plump lie']"
血汗,"['blood and sweat', 'sweat and toil']"
人妖,"['shemale', 'hemophrodite', 'lady-boy']"
帕塔亚,['帕塔亚']
夜总会,"['nightclub', 'night club', 'cabaret', 'discothèque']"
异装癖,['transvestism']
反串,"[""play not one's customary role""]"
表演者,['performer']
裁判长,"['chief judge', 'chief referee', 'head judge']"
古典建筑,['classical architecture']
飞檐,"['cornice', 'overhanging eaves']"
矮墙,"['parapet', 'sunk fence', 'kneeboard']"
矮楼,['矮楼']
德兴铜矿,['Dexing Copper Mine']
降库,['降库']
新举措,['new measures']
天车,"['crown block', 'shop traveller', 'overhead travelling crane']"
坑内,['坑内']
装卸,"['handling', 'assemble and unassemble', 'load and unload']"
取除,['取除']
烟坑,['烟坑']
焦碳,['coke']
磁盘驱动器,['disc drive']
压痕,"['indentation', 'impression', 'impress']"
两枚,['两枚']
幻梦,"['illusion', 'fantasy', 'dream', 'daydream']"
暗地,"['secretly', 'inwardly', 'on the sly', 'on the quiet']"
遮瑕膏,"['concealer', 'correct']"
粉底,['foundation make-up']
世纪之交,['turn of the century']
冰面,['ice surface']
摩擦力,['force of friction']
牵绊,['牵绊']
大狗,['towser']
张德倍,['张德倍']
兰迪,['Randy']
哈特曼,['hartmann']
塑造成,['fashion into']
圣歌,"['anthem', 'chant', 'hymn', 'canticle', 'psalm']"
个人资料,['personal data']
除获,['除获']
本署,['本署']
台面,['table-board']
板来,['板来']
那学来,['那学来']
故障注入,['fault injection']
舰载,"['carrier-based', 'ship-based', 'carrier-borne', 'ship-bone']"
测系统,['测系统']
汪汪,"['tearful', 'tears welling up']"
聚首,"['gather', 'meet']"
北区,['North District']
装出,"['put on', 'make with']"
少年宫,['children’s palace']
教研室,"['teaching and research office', 'teaching and research section']"
电化教育,"['electrified education', 'audio-visual education programme']"
通奏,['continuo']
并接,"['splice', 'merge']"
兰登,"['Landon', 'Landen', 'Langdon']"
诧异,"['be surprised', 'be amazed', 'be astonished']"
教过,['taught']
正比,['direct ratio']
之树,['之树']
满脸,['all over the face']
皱巴巴,['wrinkled']
购物者,['shopper']
一片狼藉,['一片狼藉']
胰头,['head of pancreas']
近全,['近全']
晕头转向,"['vertigo', 'confused and disoriented', ""lose one's bearings"", ""out of one's bearings""]"
高倍率,['high magnification']
框内,['inside of  the frame']
顾说,['顾说']
乌有,"['naught', 'nothing']"
科研人员,"['researcher', 'scientific research personnel']"
氢氧,['oxyhydrogen']
高曼,['Goldman']
不论怎么,['不论怎么']
山渣料,['山渣料']
变异性,"['variability', 'changeability']"
直方图,"['histogram', 'column diagram']"
尺度空间,['scale space']
贫困率,['incidence of poverty']
建筑节能,"['building energy efficiency', 'building energy conservation']"
护发品,['hair care product']
抗衰老,['anti-aging']
列王记,['列王记']
上下卷,['上下卷']
编年史,"['annals', 'chronicles']"
报警装置,['warning device']
小网膜,"['retinula', 'lesser omentum', 'retinophore', 'omentulum']"
晚于,"['past', 'posterior to']"
如除,['如除']
软件架构,['software architecture']
业务人员,"['servicer', 'business personnel']"
切纸机,"['slitter', 'paper cutter', 'paper cutting machine']"
跛行,"['claudication', 'limping', 'lameness', 'limp', 'walk lame']"
功能障碍,['dysfunction']
尺子,['ruler']
麻药,"['anesthetic', 'drug', 'anaesthetic']"
麻后,['麻后']
肛肠,['anorectum']
日内,"['in a few days', 'in a day or two', 'in a couple of days']"
西曼托,['西曼托']
杨雅晴,['杨雅晴']
平皿,['plate']
胰酶,"['pancreatin', 'pancreatic enzymes', 'pancreatic ferment']"
原辅料,['raw material']
过滤法,"['filtration', 'filer', 'filtration method']"
种数,['种数']
租型,['租型']
六便士,"['sixpence', 'tanner']"
铜钱,['copper cash']
必恭必敬,['reverent and respectful']
挥,"['wave', 'command', 'wield', 'disperse', 'wipe off']"
行着,['行着']
军礼,['military salute']
低阶,['low order']
上取,['上取']
哗啦啦,['哗啦啦']
其功,['其功']
消耗率,['consumption rate']
勃纳瑟拉是,['勃纳瑟拉是']
雪山,['snow mountain']
估定,['assessment']
六十岁,['threescore']
舍客,['舍客']
水性胶,"['water-soluble adhesive', 'water-base cement']"
及白胶,['及白胶']
喷雾式,"['atomizing', 'spray type']"
涂布,['coating']
包孕,['subsumption']
主顾,"['customer', 'client']"
实相,['reality']
基因打靶,['gene targeting']
行政助理,"['administrative assistant', 'administration assistant', 'executive assistant']"
常对,['常对']
广州日报,['Guangzhou Daily']
江门,"['Jiangmen', 'Kiangmoon']"
珠江,"['the Pearl River', 'the Zhujiang River']"
何麻溪特,['何麻溪特']
斜拉,['cable-stayed']
挂篮,"['hanging basket', 'cradle']"
从右到左,"['from right to left', 'right to left', 'right-to-left']"
以仅,['以仅']
近百人,['近百人']
申请书,"['application', 'application form']"
对岸,"['the opposite bank', 'the other side of the river']"
马棚,['stable']
这匹,['这匹']
纯种马,"['bloodstock', 'blood horse']"
掀翻,['throw']
肯梦倒,['肯梦倒']
伊斯坦布尔,['Istanbul']
斯逖尔,['斯逖尔']
豪斯,['hauss']
欣然前往,['欣然前往']
醉心于,"['take up with', 'idolize', 'be rapt in', 'be keen on']"
体羽,['body feathers']
胸具,['胸具']
宽纹,['宽纹']
翼具,['翼具']
具深,['具深']
横纹,"['band', 'cross striation']"
扎沃斯,['Davos']
手执,['手执']
指点迷津,"['show someone how to get onto the right path', ""Ariadne's thread"", 'point out the right way to someone when he goes astray']"
楚门,['楚门']
碰见,"['come across', 'meet', 'run into', 'blunder into', 'fall in with']"
午,"['midday', 'noon', 'the seventh of the twelve Earthly Branches', 'a surname']"
晚都安,['晚都安']
欠下,['欠下']
目标线,['score']
长岭,['长岭']
马昕,['马昕']
防空洞,"['air-raid shelter', 'abri', 'bomb shelter', 'bombproof dugout']"
来们,['来们']
苗头,"['symptom of a trend', 'suggestion of a new development']"
函数库,['function library']
深腾,['深腾']
张跃,['Zhang Yue（人名）']
截断,"['truncation', 'cut off']"
计程车,['taxi']
沐雨经霜,['沐雨经霜']
习以为常,['be accustomed to']
目力,"['eyesight', 'vision']"
凝滞,"['stagnate', 'move sluggishly']"
颓唐,"['dejected', 'dispirited', 'downhearted']"
官能,"['sense', 'function']"
蜕掉,['蜕掉']
鲁汶,['鲁汶']
该元,['该元']
昂捷,['Entier']
体弱多病,['valetudinarianism']
吹得,['吹得']
呼啦啦,['呼啦啦']
地响,['地响']
狂风暴雪,['狂风暴雪']
寻觅,"['seek', 'look for']"
圈栏,['hutch']
彻头彻尾,"['throughout', 'out and out', 'through and through', 'to the backbone', 'to the quick']"
废话,"['nonsense', 'rubbish']"
舌咽神经,['glossopharyngeal nerve']
高压氧,['HPO (high pressure oxygen)']
报到率,['报到率']
一丝一毫,['a tiny bit']
联票,['ticket package']
忐忑,"['perturbed', 'mentally disturbed']"
鹩哥,"['tinkling', 'grackle', 'hill myna']"
电影胶片,['filmstrip']
福尔曼,['foreman']
扎伊尔,['Zaire']
大个儿,['大个儿']
为证,['为证']
大嘴茱莉,['大嘴茱莉']
日记账,"['journal', 'day book', 'daily book']"
走近,"['approximation', 'walk up to', 'come up', 'draw near', 'step up']"
历克斯,['历克斯']
正向,['forward direction']
稳压器,"['voltage stabilizer', 'voltage regulator']"
吉尔曼,"['Gillmann', 'Gillman', 'Gilman']"
女儿国,['kingdoms of females']
正反,['positive and negative']
泰娜,['泰娜']
发出请求,['make a request']
脑神经,"['cranial nerve', 'nervi cerebrales']"
发债,['issue a new bond']
足坛,['football world']
罗曼,"['Rohman', 'Romain', 'Rohmann', 'Romahn']"
毛坯,['workblank']
开放区,['open zone']
针扎,"[""tailor's cushion""]"
东盟自由贸易区,['AFTA(ASEAN Free Trade Area)']
添彩,['添彩']
圆角,['circular bead']
买涨,['buy on the way up']
管理信息系统,['management information system']
两门,['两门']
校内,['on campus；xiaonei（sns网站）']
组队参加,['组队参加']
校际比赛,['校际比赛']
非走不可,['must go']
弯路,"['tortuous path', 'crooked road', 'winding course']"
维数,"['dimension', 'dimensionality', 'number of dimensions']"
体征,['sign']
剧毒,"['toxic', 'highly toxic']"
野生植物,"['Wildingcare (brand of cosmetics)', 'wild plants']"
开杯,['开杯']
望洋,['望洋']
炮台,"['battery', 'fort barbette']"
及大,['及大']
石林,"['hoodoos', 'stone forest']"
路南彝族自治县,['路南彝族自治县']
殿堂,"['palace', 'sanctuary', 'palace hall']"
打伞,"['open an umbrella', 'hold up an umbrella']"
凝,"['congeal', 'curdle', 'coagulate', 'fix']"
日股,['日股']
本益比,['本益比']
预调,"['preset', 'presetting']"
马父,['马父']
离了婚,['离了婚']
心事重重,"[""on one's chest"", ""on one's mind"", 'with a heavy heart']"
健身运动,['body-building']
科南,['Conan']
有起色,['show signs of a rise']
婆罗浮屠,['Borobudur']
卫塞节,['Vesak Day（南传佛教传统纪念佛教创始人 卫塞节 卫塞节 释迦牟尼佛祖诞生、成道、涅槃的节日）']
大乘,"['Mahayana', 'great vehicle']"
马格朗,['马格朗']
探史,['探史']
装模作样,"['priggery', 'pose', 'attitudinize', 'put on an act', 'do the grand']"
史马特,['史马特']
李说,['李说']
外委会,['外委会']
彭定康,['彭定康']
火上浇油,"['pour oil on the flames', 'add fuel to the flames', 'add fuel to the fire']"
近处,['vicinity']
察言观色,['carefully watch what sb. is doing and saying']
葛根芩,['葛根芩']
连汤,['连汤']
丙酮酸,"['pyruvic acid', 'pyroracemic acid', 'acetylformic acid', 'keto-acetic acid']"
中脂质,['中脂质']
代谢物,"['metabolin', 'metabolite']"
保险合同,['insurance contract']
旗,"['banner', 'standard', 'bannerette', 'flag', 'bannerline']"
许多遍,['许多遍']
前种,['前种']
山楂树,"['thornbush', 'thorntree', 'hawthorn tree']"
磨料,"['abradant', 'abrasive (material)', 'grinding material', 'grinding compound']"
测量员,"['Surveyor', 'measurer']"
期长,['期长']
钢绞线,['steel strand']
扛得住,['扛得住']
好戏,['good play']
跳票,['bounced check']
捐给,['be donated to']
小格,['compartment']
亚韦,['亚韦']
马季,"['David Magee（相声演员）', 'Ma Ji（人名）']"
可于,['可于']
高升,['be promoted to a higher position or rank']
净白,['whitening']
提早,['ahead of time']
提炼出,['extract']
人化度,['人化度']
贫富,['rich and poor']
拔除,"['remove', 'uproot', 'eradicate', 'pull out']"
独揽,"['arrogate', 'monopolize']"
沃尔兹,"['Walz', 'Voltz', 'Volz']"
撑起来,"['hold up', 'support']"
里应外合,['collaborate from within with forces from outside']
乌烟瘴气,"['foul atomsphere', 'a foul atomsphere']"
横拍,['shakehand grip（兵乓球握拍方式名）']
反手,['backhand']
扣球,"['spike', 'smash']"
并迭加,['并迭加']
地球表层,['epigeosphere']
覆,"['cover', 'overturn', 'upset', 'compound']"
汽车电器,['automotive electrical appliance']
绊倒,"['trip', 'stumble']"
碰壁,"['be rebuffed', 'run up against a stone wall', 'run into a brick wall', 'meet with a refusal', ""run one's head against a stone wall""]"
摩加迪沙,"['Mogadishu', 'muqdisho']"
费口舌,"['require a lot of talking', 'require a lot of arguing']"
错误认识,['wrong understanding']
鼻青脸肿,"['with a bloody nose and a swollen face', 'badly battered', ""One's face is black and blue.""]"
识别性,"['identifiability', 'recognizability']"
神垂,['神垂']
坠落在,['坠落在']
黄经,"['longitude', 'celestial longitude', 'ecliptic longitude']"
凭籍,['凭籍']
较具,['较具']
港澳地区,['hong kong and macao regions']
轴测,['axonometric']
度角,['度角']
劲风,['劲风']
骤起,['sudden onset']
尘土飞扬,"['The dust was blowing.', 'A huge cloud of dust rose.', 'Dust swirls in the air.', 'The dust is rising in clouds.']"
嗖嗖,['嗖嗖']
䐜,['䐜']
小痣,"['lentigo', 'lentigines']"
后天性,['posteriority']
前作,['preceding crop']
意谓,"['means', 'mean']"
记笔记,"['take notes', 'make notes']"
范儿,['style（非正式）']
镶花,['镶花']
随行人员,"['entourage', 'party', 'suite', 'retinue']"
乘同,['乘同']
因公,"['on business', 'on duty']"
送下,['送下']
肯能,['肯能']
新异,['newfangle']
从头开始,"['start anew', 'make a fresh start', 'take a start from the head']"
抓握,"['prehension', 'grab']"
旁观者,"['spectator', 'onlooker', 'bystander']"
本质区别,['essential difference']
老年学,['gerontics']
异口同声,['all with one voice']
群强,['群强']
半格,['semi-lattice']
诣,"['visit', 'call on (sb. one respects)', '(academic or technical) attainments']"
西翼,['西翼']
以鹰,['以鹰']
山风光,['山风光']
亮子,['亮子']
河漂流,['河漂流']
贝特,['Bett']
贝斯,['Bass']
供应地,['supplying place']
拍有,['拍有']
秃顶,"['bald', 'baldheaded', 'become bald']"
番薯,"['sweet potato', 'scammony root']"
牧童,"['cowboy', 'cowherd', 'shepherd boy', 'buffalo boy']"
冒口,['dead head']
贝贝,['Bebe']
南瓜子,"['pumpkin seed', 'cushaw seed', 'semen cucurbitae']"
红糖,['brown sugar']
桂皮,"['cinnamon', 'cassia', 'Chinese cinnamon', 'feathering', 'cassia bark']"
眯起,['眯起']
丑化,"['defame', 'smear', 'vilify', 'uglify']"
上大,['上大']
钢管舞,['pole dancing']
耸人听闻,['deliberately exaggerate so as to create a sensation']
头条,"['headline', 'front page', 'top line']"
固执己见,"['self-opinion', ""stick to one's guns"", 'sit tight', ""follow one's bigoted course"", ""have one's way""]"
所干,['所干']
李恩才,['李恩才']
督察,"['supervise', 'superintend', 'inspector-general']"
怀中,"[""in one's arms""]"
烙铁,['soldering iron']
疹子,"['measles', 'eruption']"
剪片,['snip']
侧压力,"['lateral pressure', 'wall pressure', 'side pressure']"
开赴,"['march to', 'be bound for']"
所罗门群岛,['Solomon Islands']
奔赴,"['go to', 'hurry off to', 'hurry off for', 'rush to', 'hasten to']"
周数,['number of weeks']
砂土,"['sand', 'sandy soil']"
格兰特,['Grant']
宝贝女儿,"['dear daughter', 'baby girl']"
门后,['behind the door']
立着,['stand']
再进一步,['再进一步']
跨区,"['trans-regional', 'cross-district']"
艾琳,['Aileen']
斯科尔尼,['斯科尔尼']
克写,['克写']
呼来喝去,['呼来喝去']
司法部长,"['Minister of Justice', 'Attorney General']"
国家情报局,['国家情报局']
情报组织,['information organization']
高质,['高质']
高收视率,"['high rating', 'high audience rating']"
并非如此,"['was not the case.', 'really not so']"
超量,"['excess', 'overbalance', 'surplus']"
音乐欣赏,['music appreciation']
性病变,['性病变']
慕课,['Mooc（中国在线课程学习平台）']
装上,"['mount', 'fit on']"
人文学科,['humanities']
通识,['通识']
柯尼希,['Koenig']
承租者,['承租者']
性需求,['sex demand']
没开,['没开']
先别,['先别']
开锅,['boil']
打稻,['打稻']
塔宝拉有,['塔宝拉有']
萨玛斯,['萨玛斯']
盖纳,"['Gaine', 'Guenne', 'Gainer', 'Gaines']"
三思而后行,"['prudent', 'look before you leap']"
波莫纳,['Pomona']
巴尔,"['Baal', 'Barr', 'Baltic']"
呈成,['呈成']
原代,['原代']
天即,['天即']
贵行,['贵行']
全蝎,['scorpio']
模糊不清,['slur']
呈粒,['呈粒']
沙状,['沙状']
教人,['教人']
残砖败,['残砖败']
贞操,"['chastity', 'virginity', 'loyalty', 'moral integrity']"
杰罗姆,['Jerome']
锚索,"['anchor cable', 'anchor rope', 'anchor line', 'mooring wire rope']"
闸室,['lock chamber']
弗朗兹,['Franz']
室内乐,['chamber music']
管弦乐,['orchestral music']
羽,"['feather', 'plume', 'a note of the ancient Chinese five-tone scale']"
管键琴,['管键琴']
藤本,"['vine', 'liana']"
健二,['健二']
次子,['second son']
太软弱,['太软弱']
具体化,"['materialization', 'embody', 'crystallize', 'objectivise']"
绕成,['wind into']
左室,['left ventricle']
心性,"['disposition', 'temperament']"
法尼尼,['法尼尼']
公马,['stallion']
母马,['mare (pl. maria)']
养马,"['horse breeding', 'horse keeping', 'horse husbandry']"
附魔,['enchantment（网络游戏术语）']
光端机,"['optical transmitter and receiver', 'LTE (Lightware Terminal Equipment)']"
并行度,['degree of parallelism']
氮平,['氮平']
舍曲林,['sertraline']
球拍,"['racket', 'racquet', 'bat']"
蔚为,['蔚为']
风行,"['be in fashion', 'be popular']"
起墙,['起墙']
无毒性,"['nontoxicity', 'avirulence']"
氨氮,['ammonia nitrogen']
计论,['计论']
源生,['源生']
文后,['文后']
波面,['wave surface']
天图,['sky maps']
最亮,['brightest（bright的最高级）']
时代特色,"['era characteristics', 'epoch characteristics', 'time features', 'time characteristics']"
满腹,"['be full of', ""have one's mind filled with""]"
一文,['一文']
浮出,['emersion']
飞马,['Pegasus']
品种繁多,"['wide varieties', 'assorted varieties', 'a great variety of']"
小灯,['lamplet']
邻村,['邻村']
笔来,['笔来']
范尼斯特,['范尼斯特']
细胞组织,"['cell tissue', 'cellular tissue']"
美资,['美资']
国门,"['gateway of a country', 'gate of the capital city']"
借题,['借题']
查普曼,['sydney chapman']
归国,"[""return to one's country""]"
民族英雄,['national hero']
细胞器,['organelle']
坏掉,"['conk', 'go bad']"
主体作用,"['main body role', 'the dominant role', 'principal role', 'corpus function']"
裸妆,"['nude makeup', 'nude look']"
尖端,"['cusp', 'tip', 'jut', 'point', 'top end']"
造型师,['styling designer']
贲门癌,['gastric cancer']
排空,"['evacuation', 'drain']"
评量,['评量']
越高越,['越高越']
测谎仪,"['Polygraph', 'lie detector']"
圣约翰,['St.Johns']
索瓦宁,['索瓦宁']
韩七录,['韩七录']
七录,['七录']
初夏,['early summer']
服个,['服个']
画展,"['art exhibition', 'art show', 'exhibition of paintings']"
倔强地,"['stubbornly', 'restively', 'perversely', 'obstinately']"
标么值,"['per-unit value', 'per unit value']"
可用性,"['usability', 'availability']"
合天,['合天']
胶业,['胶业']
生产厂家,"['manufacturer', 'manufacture factory']"
电子电器,"['electronics', 'electric products']"
粘胶,['mucilage glue']
原理图,['schematic diagram']
接线图,"['hookup', 'wiring diagram', 'connection diagram', 'wiring scheme', 'wiring layout']"
挪作,['挪作']
科技攻关,['tackle hard-nut problems in science and technology']
地尔,['地尔']
硫卓是,['硫卓是']
钙通道,['calcium channel']
网络带宽,['network bandwidth']
电话员,['电话员']
人寿保险,['life insurance']
各用,['各用']
吸取,"['assimilate', 'absorb', 'suck up']"
媒体工具,['媒体工具']
全公社,['全公社']
南华早报,['South China Morning Post']
佳称,['佳称']
自释放,['自释放']
打平手,"['tie', 'end in a draw']"
好运,"['luck', 'luckiness', 'fortune']"
金汇,['金汇']
小鬼,"['imp', 'goblin']"
小女巫,['小女巫']
小超人,['小超人']
茵陈蒿,"['tarragon', 'artemisia capillaris', 'artemisia capillaris thunb']"
制作方法,"['creation method', 'manufacture method']"
加盐,['salting']
葱,"['shallot', 'scallion', 'green onion']"
料酒,"['cooking wine', 'rice wine']"
上笼,['上笼']
蒸熟,['蒸熟']
碧甲,['碧甲']
旁遮普邦,['旁遮普邦']
被误,['被误']
降生,['be born']
第三步,['the third step']
这步,['这步']
维娅,['维娅']
出现异常,['an exception occurs']
衷心希望,"['sincerely hope that', 'heartfelt wish']"
茶厂,['茶厂']
共叙,['共叙']
鸦胆子,"['Brucea javanica', 'Java brucea', 'khosam', 'kosam']"
年份,['a particular year']
议价,"['bargain', 'negotiated price']"
曾平,['曾平']
团结奋进,['团结奋进']
黄帝内经,"['Huangdi Neijing', 'The Inner Canon of Huangdi']"
无可争辩,"['beyond question', 'go without saying']"
挨饿受冻,['suffer from hunger and cold']
商务酒店,"['business hotel', 'commercial hotel', 'executive hotel']"
东二环,['东二环']
商务区,['business district']
文化部,['Ministry of Culture']
使馆区,['Legation Quarter']
毛衫,"['sweater', 'knitwear']"
外包装,"['external packing', 'outer packing']"
推车,['cart']
百仕通,['百仕通']
运作者,['运作者']
展区,"['exhibition area', 'display area']"
序厅,['lobby']
好闻,"['smell good', 'pleasant to smell']"
真菌病,['fungal disease']
耳部,['aural region']
引潮力,['tide generating force']
弹性介质,['elastic medium']
绝密,"['top secret (TS)', 'most confidential', '(for your) eyes only']"
粗粮,['coarse food grain']
西梅,['prune']
酒类,['liquor and alcoholic beverage']
饮料类,['饮料类']
决算,"['final accounting of revenue and expenditure', 'final settlement', 'actual budget']"
工程造价,"['building cost of projects', 'project cost', 'construction costs']"
海燕,"['petrel', 'sea swallow']"
幼雏,['young one']
亲职教育,['亲职教育']
磁选机,"['magnetic separator', 'magnetic extractor']"
开放型,['open type']
磁系,['magnetic system']
那首,['那首']
之歌,['之歌']
及省,['及省']
无公害,"['pollution-free', 'nuisanceless']"
畜产品,['animal by-products']
一大家子,['一大家子']
贺尔蒙,['贺尔蒙']
泡核,['complex']
压水堆,['pressurized water reactor']
连夜,"['the same night', 'that very night']"
偏距,"['setover', 'offset distance']"
行切,['行切']
下切,"['undercutting', 'sapping', 'undercut']"
布里奇顿,['Bridgetown']
巴巴多斯,['Barbados （拉丁美洲的岛国）']
缇,"['tangerine', 'orange red']"
马帝,['马帝']
太多事,['太多事']
超计划,['超计划']
时间尺度,['time scale']
往复式,['ping-pong']
大壁,['大壁']
管坯,['tube blank']
锥流率,['锥流率']
香炉,"['censer', 'burner', 'incense burner']"
茶壶,['teapot']
烛台,"['candelabrum', 'candlestick']"
卫浴间,['卫浴间']
流满,['流满']
幻想力,['fancy']
形体,"['physique', 'body', ""shape (of a person's body)"", 'form and structure']"
憧憬,"['longing', 'look forward to', 'have visions of']"
吊斗,"['cableway bucket', 'lift van', 'swinging hopper']"
擒,"['capture', 'catch', 'seize']"
纵,"['vertical', 'indulge', 'endlong', 'even if', 'from north to south']"
华侨大学,['Huaqiao University']
分数线,"['minimum passing score', 'grade cut-off point', 'fractional line']"
李朝,['Ly Dynasty']
磨合期,"['run-in period', 'breaking-in period']"
欧米茄,['Omega']
全民教育,['universal education']
籽油,['籽油']
胶泥,"['plaster', 'daub']"
嵌缝,"['filleting', 'caulking']"
补漏,['leak repairing']
施工工艺,['construction technology']
凤凰社,['the Order of the Phoenix（《哈利波特》系列小说中组织名）']
费尔罗,['费尔罗']
小骗子,['小骗子']
十几岁,['十几岁']
玉石,"['bowlder', 'jade']"
交流平台,['communication platform']
至集,['至集']
奇石,['rare stone']
之源,['之源']
金陵,['Nanjing']
象征意义,"['symbolic meaning', 'symbolic significance']"
翻动,"['stir', 'ruffle']"
脚板,['sole (of the foot)']
别想,"[""don't think of""]"
遗留下来,['leave over']
而瓶绘,['而瓶绘']
脊灰,['脊灰']
紧急行动,['emergency action']
哮喘病,['asthma']
极快,['in seven-league boots']
莉娅,['Lia']
死翘翘,['死翘翘']
宏观调节,['macroadjustment']
猪肝,['pork liver']
月底,['the end of a month']
尤文会,['尤文会']
雷泽盖,['雷泽盖']
可伦坡,['colombo']
街头巷尾,['streets and lanes']
佛像,"['joss', 'figure of Buddha']"
夜幕,"['curtain of night', 'gathering darkness']"
申命记,['Deuteronomy']
射阳,['Sheyang（地名）']
湖是,['湖是']
苏北,['northern Suzhou']
大湖,['大湖']
赊帐,"['charge account', 'on credit', 'on account', 'on the nod', 'throw up a tab']"
以强凌弱,"['oppress the weak', 'play the bully', 'domineer over the weak by being strong']"
管教,['certainly; assuredly; surely （约束教导）subject sb. to discipline; control']
毫无用处,"['be utterly useless', 'be of no use at all', 'good for nothing', 'not at all useful']"
紧密度,"['compactness', 'tightness']"
试行期,['试行期']
民族性,['national character']
陈季,['陈季']
同则,['同则']
迭戈,['Diego']
莱昂,['Leon']
梅西,['Lionel Andrés Messi']
同场竞技,['同场竞技']
刻有,"['be engraved with（engraved是engrave的过去式和过去分词）', 'be carved with（carved是carve的过去式和过去分词）']"
海角,"['cape', 'promontory', 'ness', 'naze', 'foreland']"
南天一,['南天一']
海判,['海判']
南天,['南天']
雄峙,['雄峙']
一绝,"['a special skill', 'a unique talent']"
少年人,['少年人']
歪打正着,"['hit the mark by a fluke', 'but harvest exactly what one wishes', 'do sth. unintentionally', 'score a lucky hit']"
三柱,['三柱']
蜂窝式,['honeycomb fashion']
无梁楼盖,['flat slab']
越战,['Vietnam War']
遗骨,['osseous remains']
魂归,['魂归']
亚洲各国,['亚洲各国']
伊恩,['Ian']
奥尼尔,"[""Shaquille O'Neal""]"
预习,['prepare lessons before class']
下一课,['下一课']
斯普林,['Spring']
四所,['四所']
华为公司,['Huawei Company']
拉德福,['拉德福']
节上,['节上']
海蒂,"['Heidi（人名）', 'Heidi（书名）']"
约翰森,['johannsen']
伸入,"['dive', 'stretch into']"
馆内,['馆内']
水层,['water-course']
死地,"['deathtrap', 'fatal position']"
最最,['most of all']
换来,"['in exchange', 'in return']"
千家万户,"['thousands of households', 'thousands upon thousands of families', 'huge numbers of families', 'innumerable homes']"
安祥,"['serene', 'composed', 'unruffled']"
陈耀棠,['陈耀棠']
天绕,['天绕']
说白了,"['put it in plain language', 'put it simply', 'bluntly']"
喘气,"['pant', 'gasp', 'breathe (deeply)']"
底音,['底音']
前奏曲,"['prelude', 'overture']"
赋格曲,['fugue']
替硝唑,"['tinidazole', 'TNZ(Tinidazole)']"
片剂,"['troche', 'tablet', 'tabella', 'tabuletta']"
出度,['out-degree']
货泉,['货泉']
但令,['但令']
灵丹妙药,"['panacea', 'catholicon', 'cure-all medicine', 'sovereign remedy']"
证型,"['pattern of syndrome', 'type of syndrome']"
参差不齐,"['irregularity', 'unevenness']"
热场,"['thermal field', 'hot-zone']"
德温特,"['Derwent', 'Dewint', 'Dewenter']"
隐情,['facts one wishes to hide']
含糊,"['ambiguity', 'vague']"
单台,['unit set']
嫁个,['嫁个']
生个,['生个']
出息,"['promise', 'future', 'prospects']"
参孙,['samson']
瞎,"['blind', 'foolishly', 'aimlessly', 'to no purpose', 'eternal night']"
遮好,['遮好']
门窗,['doors and windows']
减压蒸馏,['reduced pressure distillation']
生物化工,"['biochemical engineering', 'biochemical industry']"
醇高,['醇高']
徒步旅行,['hiking']
起人,['起人']
对埃,['对埃']
搅合,['搅合']
算松,['算松']
赫尔姆斯,['Hermes']
克鲁斯,['cruz']
单值,"['monodrome', 'unit value']"
飞进来,['飞进来']
安全网,"['safety net', 'guard net', 'protecting net']"
人员不足,"['short-staffed', 'understaffed']"
不堪重负,"[""can't bear the heavy load"", 'overwhelmed']"
可拆卸,"['detachable', 'dismountable']"
人造毛皮,['artificial furs']
衬里,"['lining', 'liner', 'clad']"
引擎盖,"['bonnet', 'HOOD']"
兼用,['dual-purpose']
大澳,['大澳']
瑞佩,['瑞佩']
飞渡,['飞渡']
精神力量,"['mental strength', 'spiritual strength']"
树冠,['crown']
或换,['或换']
布希总统,['布希总统']
单边主义,['unilateralism']
尾气,"['off-gas', 'tail gas', 'end gas', 'offgas', 'sweep gas']"
分布式应用,['distributed application']
维他,['维他']
水母,"['jellyfish', 'medusa', 'acaleph', 'aurelia', 'seajelly']"
数万,['tens of thousands']
磷虾,"['krill', 'euphausiid']"
甲壳类,['crustacea']
内热,['internal thermal']
客轮,"['passenger linership', 'boat]']"
选做,"['optional', 'choose to do']"
帕雷托,['Pareto']
史差,['史差']
火线,['firing line']
重任,"['heavy responsibility', 'important task', 'important mission', 'important office']"
增色添彩,['增色添彩']
波齐,['Pozzi']
入狱,"['be put in prison', 'be sent to jail']"
链长,"['cable length', 'chain length']"
天外有天,"['There is no limit in the universe -- knowledge is infinite.', 'However strong you are, there is always someone stronger.']"
人外有人,['人外有人']
史登,['史登']
这团,['这团']
乱麻,['habijabi']
可拨打,['可拨打']
中至,['中至']
三叠纪,['triassic period']
直根,"['taproot', 'tap root']"
于头模,['于头模']
牙科,"['dental department', 'dentistry']"
本地连接,['Local Connectivity']
移到,['move to']
意外事件,"['accident', 'contingency']"
坍塌,['collapse']
夺路,['夺路']
逃离现场,"['flee the scene', 'Escaping（一部惊悚、犯罪电影）']"
外地人,"['foreigner', 'stranger', 'outlander']"
挨宰,['挨宰']
划价,['have a prescription priced']
临终,"[""approaching one's end"", ""immediately before one's death"", ""on one's deathbed""]"
损,"['harm', 'damage', 'lose', 'injure']"
